"Step","phase1-awakening - val_loss","phase1-awakening - val_loss__MIN","phase1-awakening - val_loss__MAX"
"199","93.53650802612304","93.53650802612304","93.53650802612304"
"400","34.37794952392578","34.37794952392578","34.37794952392578"
"601","29.582625579833984","29.582625579833984","29.582625579833984"
"802","32.45369041442871","32.45369041442871","32.45369041442871"
"1003","24.671378631591796","24.671378631591796","24.671378631591796"
"1204","23.899440460205078","23.899440460205078","23.899440460205078"
"1405","23.251259765625","23.251259765625","23.251259765625"
"1606","22.97413055419922","22.97413055419922","22.97413055419922"
"1807","22.544407501220704","22.544407501220704","22.544407501220704"
"2008","21.268009033203125","21.268009033203125","21.268009033203125"
"2209","20.169401626586914","20.169401626586914","20.169401626586914"
"2410","19.988846130371094","19.988846130371094","19.988846130371094"