"Step","phase1-reasoning - train/l30_mse","phase1-reasoning - train/l30_mse__MIN","phase1-reasoning - train/l30_mse__MAX"
"0","25.20583927631378","25.20583927631378","25.20583927631378"
"1","16.63329267501831","16.63329267501831","16.63329267501831"
"2","13.260480523109436","13.260480523109436","13.260480523109436"
"3","16.201959252357483","16.201959252357483","16.201959252357483"
"4","21.125917196273804","21.125917196273804","21.125917196273804"
"5","20.866774082183838","20.866774082183838","20.866774082183838"
"6","20.90984606742859","20.90984606742859","20.90984606742859"
"7","13.3739755153656","13.3739755153656","13.3739755153656"
"8","20.512685537338257","20.512685537338257","20.512685537338257"
"9","17.236865162849426","17.236865162849426","17.236865162849426"
"10","17.68787968158722","17.68787968158722","17.68787968158722"
"11","19.214004516601562","19.214004516601562","19.214004516601562"
"12","20.30538296699524","20.30538296699524","20.30538296699524"
"13","22.74289107322693","22.74289107322693","22.74289107322693"
"14","17.858570337295532","17.858570337295532","17.858570337295532"
"15","13.384454131126404","13.384454131126404","13.384454131126404"
"16","10.766821384429932","10.766821384429932","10.766821384429932"
"17","20.882290363311768","20.882290363311768","20.882290363311768"
"18","6.944748401641846","6.944748401641846","6.944748401641846"
"19","18.690468907356262","18.690468907356262","18.690468907356262"
"20","22.043700575828552","22.043700575828552","22.043700575828552"
"21","16.391250252723694","16.391250252723694","16.391250252723694"
"22","13.178018450737","13.178018450737","13.178018450737"
"23","19.18055546283722","19.18055546283722","19.18055546283722"
"24","15.526851534843445","15.526851534843445","15.526851534843445"
"25","16.509614944458008","16.509614944458008","16.509614944458008"
"26","23.225752234458923","23.225752234458923","23.225752234458923"
"27","16.96603512763977","16.96603512763977","16.96603512763977"
"28","13.862546682357788","13.862546682357788","13.862546682357788"
"29","16.47497570514679","16.47497570514679","16.47497570514679"
"30","18.08043611049652","18.08043611049652","18.08043611049652"
"31","22.598817706108093","22.598817706108093","22.598817706108093"
"32","18.173727989196777","18.173727989196777","18.173727989196777"
"33","20.56448221206665","20.56448221206665","20.56448221206665"
"34","17.338539242744446","17.338539242744446","17.338539242744446"
"35","12.104801654815674","12.104801654815674","12.104801654815674"
"36","14.917096972465515","14.917096972465515","14.917096972465515"
"37","21.58204436302185","21.58204436302185","21.58204436302185"
"38","13.370800971984863","13.370800971984863","13.370800971984863"
"39","19.0634628534317","19.0634628534317","19.0634628534317"
"40","15.203630447387695","15.203630447387695","15.203630447387695"
"41","14.308684349060059","14.308684349060059","14.308684349060059"
"42","16.05363893508911","16.05363893508911","16.05363893508911"
"43","17.84760570526123","17.84760570526123","17.84760570526123"
"44","18.883163452148438","18.883163452148438","18.883163452148438"
"45","18.179109811782837","18.179109811782837","18.179109811782837"
"46","18.766417264938354","18.766417264938354","18.766417264938354"
"47","16.366727232933044","16.366727232933044","16.366727232933044"
"48","9.297181963920593","9.297181963920593","9.297181963920593"
"49","20.061206340789795","20.061206340789795","20.061206340789795"
"50","15.020338892936707","15.020338892936707","15.020338892936707"
"51","17.56027102470398","17.56027102470398","17.56027102470398"
"52","16.229475498199463","16.229475498199463","16.229475498199463"
"53","18.005341291427612","18.005341291427612","18.005341291427612"
"54","19.439175724983215","19.439175724983215","19.439175724983215"
"55","14.332595109939575","14.332595109939575","14.332595109939575"
"56","14.86773145198822","14.86773145198822","14.86773145198822"
"57","12.427947521209717","12.427947521209717","12.427947521209717"
"58","17.039050817489624","17.039050817489624","17.039050817489624"
"59","17.055781960487366","17.055781960487366","17.055781960487366"
"60","12.786901712417603","12.786901712417603","12.786901712417603"
"61","16.046300292015076","16.046300292015076","16.046300292015076"
"62","17.741915583610535","17.741915583610535","17.741915583610535"
"63","17.81208050251007","17.81208050251007","17.81208050251007"
"64","16.649013996124268","16.649013996124268","16.649013996124268"
"65","15.13935101032257","15.13935101032257","15.13935101032257"
"66","15.028404951095581","15.028404951095581","15.028404951095581"
"67","18.557364583015442","18.557364583015442","18.557364583015442"
"68","15.940704345703125","15.940704345703125","15.940704345703125"
"69","12.751820087432861","12.751820087432861","12.751820087432861"
"70","15.108052253723145","15.108052253723145","15.108052253723145"
"71","7.11477255821228","7.11477255821228","7.11477255821228"
"72","16.477604627609253","16.477604627609253","16.477604627609253"
"73","18.87114667892456","18.87114667892456","18.87114667892456"
"74","15.625661849975586","15.625661849975586","15.625661849975586"
"75","14.430476665496826","14.430476665496826","14.430476665496826"
"76","11.720453262329102","11.720453262329102","11.720453262329102"
"77","19.215868711471558","19.215868711471558","19.215868711471558"
"78","19.024013996124268","19.024013996124268","19.024013996124268"
"79","16.766805768013","16.766805768013","16.766805768013"
"80","17.455461025238037","17.455461025238037","17.455461025238037"
"81","18.76154601573944","18.76154601573944","18.76154601573944"
"82","19.719455122947693","19.719455122947693","19.719455122947693"
"83","14.757087111473083","14.757087111473083","14.757087111473083"
"84","17.653295397758484","17.653295397758484","17.653295397758484"
"85","16.565802216529846","16.565802216529846","16.565802216529846"
"86","17.674819707870483","17.674819707870483","17.674819707870483"
"87","14.417759537696838","14.417759537696838","14.417759537696838"
"88","17.217284202575684","17.217284202575684","17.217284202575684"
"89","19.672285199165344","19.672285199165344","19.672285199165344"
"90","18.178556442260742","18.178556442260742","18.178556442260742"
"91","14.604592084884644","14.604592084884644","14.604592084884644"
"92","17.127264618873596","17.127264618873596","17.127264618873596"
"93","14.24928629398346","14.24928629398346","14.24928629398346"
"94","14.05222201347351","14.05222201347351","14.05222201347351"
"95","21.440739631652832","21.440739631652832","21.440739631652832"
"96","12.804951310157776","12.804951310157776","12.804951310157776"
"97","15.355893731117249","15.355893731117249","15.355893731117249"
"98","16.981258511543274","16.981258511543274","16.981258511543274"
"99","10.75892972946167","10.75892972946167","10.75892972946167"
"100","18.89552664756775","18.89552664756775","18.89552664756775"
"101","9.273920893669128","9.273920893669128","9.273920893669128"
"102","13.172184348106384","13.172184348106384","13.172184348106384"
"103","14.518830060958862","14.518830060958862","14.518830060958862"
"104","15.334880113601685","15.334880113601685","15.334880113601685"
"105","12.700631856918335","12.700631856918335","12.700631856918335"
"106","18.81951379776001","18.81951379776001","18.81951379776001"
"107","18.175135850906372","18.175135850906372","18.175135850906372"
"108","18.31094241142273","18.31094241142273","18.31094241142273"
"109","18.670600533485413","18.670600533485413","18.670600533485413"
"110","18.918535470962524","18.918535470962524","18.918535470962524"
"111","16.379399180412292","16.379399180412292","16.379399180412292"
"112","16.707990169525146","16.707990169525146","16.707990169525146"
"113","10.639319777488708","10.639319777488708","10.639319777488708"
"114","11.951218247413635","11.951218247413635","11.951218247413635"
"115","15.610358238220215","15.610358238220215","15.610358238220215"
"116","21.674311637878418","21.674311637878418","21.674311637878418"
"117","11.720585942268372","11.720585942268372","11.720585942268372"
"118","11.929558396339417","11.929558396339417","11.929558396339417"
"119","11.315353035926819","11.315353035926819","11.315353035926819"
"120","15.9465970993042","15.9465970993042","15.9465970993042"
"121","16.277331471443176","16.277331471443176","16.277331471443176"
"122","17.337069749832153","17.337069749832153","17.337069749832153"
"123","15.436963319778442","15.436963319778442","15.436963319778442"
"124","19.53328561782837","19.53328561782837","19.53328561782837"
"125","9.546318531036377","9.546318531036377","9.546318531036377"
"126","17.597938656806946","17.597938656806946","17.597938656806946"
"127","15.10591208934784","15.10591208934784","15.10591208934784"
"128","15.179756879806519","15.179756879806519","15.179756879806519"
"129","14.711161613464355","14.711161613464355","14.711161613464355"
"130","16.680431127548218","16.680431127548218","16.680431127548218"
"131","11.158371567726135","11.158371567726135","11.158371567726135"
"132","19.15203583240509","19.15203583240509","19.15203583240509"
"133","16.90532612800598","16.90532612800598","16.90532612800598"
"134","20.359498381614685","20.359498381614685","20.359498381614685"
"135","13.078763484954834","13.078763484954834","13.078763484954834"
"136","16.89711821079254","16.89711821079254","16.89711821079254"
"137","17.550918579101562","17.550918579101562","17.550918579101562"
"138","16.960103511810303","16.960103511810303","16.960103511810303"
"139","16.416616797447205","16.416616797447205","16.416616797447205"
"140","15.190362691879272","15.190362691879272","15.190362691879272"
"141","16.3943874835968","16.3943874835968","16.3943874835968"
"142","13.669152975082397","13.669152975082397","13.669152975082397"
"143","12.452025771141052","12.452025771141052","12.452025771141052"
"144","15.34525203704834","15.34525203704834","15.34525203704834"
"145","19.28930675983429","19.28930675983429","19.28930675983429"
"146","15.291049242019653","15.291049242019653","15.291049242019653"
"147","17.66502571105957","17.66502571105957","17.66502571105957"
"148","15.28754436969757","15.28754436969757","15.28754436969757"
"149","16.6527738571167","16.6527738571167","16.6527738571167"
"150","8.8787442445755","8.8787442445755","8.8787442445755"
"151","17.02585995197296","17.02585995197296","17.02585995197296"
"152","10.573003053665161","10.573003053665161","10.573003053665161"
"153","11.330144047737122","11.330144047737122","11.330144047737122"